releve,origine,destination,prix_min,devise,depart,retour,duree_jours,nb_offres
2026-07-31 14:07,PAR,BKK,,eur,,,,0
2026-07-31 14:28,PAR,BKK,,eur,,,,0
2026-07-31 20:01,CDG,FOR,998,2026-08-30,2026-09-29,30,LATAM,63
2026-07-31 20:11,CDG,BKK,571,2026-08-23,2026-09-22,30,Etihad,109
2026-07-31 20:22,CDG,FOR,998,2026-08-30,2026-09-29,30,LATAM,79
2026-07-31 23:28,CDG,FOR,978,EUR,2026-08-27,2026-09-24,28,Iberia,247
2026-08-01 00:21,PAR,FOR,856,EUR,2026-08-18,2026-09-14,27,Tap Air Portugal,454
2026-08-01 01:25,PAR,FOR,831,EUR,2026-09-01,2026-09-29,28,Iberia,1342
2026-08-01 08:13,PAR,FOR,831,EUR,2026-09-01,2026-09-29,28,Iberia,1326
2026-08-02 08:15,PAR,FOR,829,EUR,2026-09-01,2026-10-01,30,Iberia,1304
2026-08-03 09:35,PAR,FOR,831,EUR,2026-09-01,2026-09-29,28,Iberia,1275
2026-08-04 08:30,PAR,FOR,800,EUR,2026-08-30,2026-09-29,30,Iberia,1303
2026-08-05 08:28,PAR,FOR,800,EUR,2026-09-01,2026-09-29,28,Iberia,1319
2026-08-06 08:27,PAR,FOR,839,EUR,2026-09-06,2026-10-04,28,Iberia,1309
2026-08-07 07:08,PAR,FOR,820,EUR,2026-09-01,2026-09-29,28,Iberia,1350
2026-08-08 06:43,PAR,FOR,820,EUR,2026-08-30,2026-09-29,30,Iberia,1356
2026-08-09 06:48,PAR,FOR,820,EUR,2026-08-30,2026-09-29,30,Iberia,1330
2026-08-10 07:23,PAR,FOR,820,EUR,2026-08-30,2026-09-29,30,Iberia,1326
2026-08-11 06:59,PAR,FOR,820,EUR,2026-09-01,2026-09-29,28,Iberia,1332
2026-08-12 07:17,PAR,FOR,810,EUR,2026-09-01,2026-09-29,28,Iberia,1348
2026-08-13 07:19,PAR,FOR,810,EUR,2026-09-01,2026-09-29,28,Iberia,1395
2026-08-14 07:17,PAR,FOR,839,EUR,2026-09-04,2026-10-04,30,Iberia,1400
2026-08-15 06:30,PAR,FOR,849,EUR,2026-09-15,2026-10-13,28,Iberia,1378
2026-08-16 06:32,PAR,FOR,820,EUR,2026-09-08,2026-10-06,28,Iberia,1325
2026-08-17 06:43,PAR,FOR,856,EUR,2026-08-18,2026-09-13,26,Tap Air Portugal,1248
2026-08-18 06:35,PAR,FOR,856,EUR,2026-08-18,2026-09-13,26,Tap Air Portugal,1251
2026-08-19 06:36,PAR,FOR,840,EUR,2026-09-13,2026-10-11,28,Iberia,1243
2026-08-20 06:38,PAR,FOR,853,EUR,2026-09-13,2026-10-11,28,Tap Air Portugal,1191
2026-08-21 06:38,PAR,FOR,829,EUR,2026-09-13,2026-10-13,30,Iberia,1159
2026-08-22 06:31,PAR,FOR,840,EUR,2026-09-15,2026-10-11,26,Iberia,1083
2026-08-23 06:33,PAR,FOR,754,EUR,2026-09-13,2026-10-09,26,Iberia,1036
2026-08-24 06:48,PAR,FOR,828,EUR,2026-09-13,2026-10-13,30,Iberia,961
2026-08-25 06:38,PAR,FOR,828,EUR,2026-09-13,2026-10-13,30,Iberia,980
2026-08-26 06:40,PAR,FOR,854,EUR,2026-08-30,2026-09-29,30,Iberia,722
2026-08-27 17:15,PAR,FOR,856,EUR,2026-08-28,2026-09-23,26,Tap Air Portugal,358
2026-08-28 18:08,PAR,FOR,854,EUR,2026-08-30,2026-09-29,30,Iberia,800
2026-08-29 12:11,PAR,FOR,854,EUR,2026-09-01,2026-09-29,28,Iberia,754
